name,throws,age,stints,teamID,LG,POS1,W,L,CG,ShO,GP,GS,SV,GF,IPOuts, IP , ERA ,HA,ER,HRA,BBA,SOA,IBBA,WP,HPBA,BK,BFP,RA, CMD , DOM , CTL , HR9 , WHIP , WRIP ,HRBIB, RAVG , FIP , DERA , STUFF , GURU ,salary,WAR
Ky Barraclough,R,29,2,SFN,NL,Reliever,1,2,0,0,43,0,0,9,101,33.7, 5.61 ,38,21,9,21,40,2,3,2,1,164,24, 1.9 , 10.7 , 5.6 , 2.4 , 1.75 , 3.30 , 0.17 , 6.42 , 6.35 ,5.64, 41 , 6 ,0.482248,-0.8
He Velazquez,R,30,1,BOS,AL,Reliever,1,4,0,0,34,8,0,11,169,56.3, 5.43 ,58,34,7,28,49,0,2,3,0,247,40, 1.8 , 7.8 , 4.5 , 1.1 , 1.53 , 1.74 , 0.06 , 6.39 , 4.73 ,4.65, 24 , 18 ,0.511379,0.2
Br Johnson,L,28,1,BOS,AL,Reliever,1,3,0,0,21,7,0,3,121,40.3, 6.02 ,53,27,6,23,31,3,5,0,0,193,29, 1.3 , 6.9 , 5.1 , 1.3 , 1.88 , 2.06 , 0.07 , 6.47 , 5.31 ,4.92, 4 , 12 ,0.575,0.0
Au Adams,R,28,2,SEA,AL,Reliever,2,2,0,0,30,2,0,3,96,32.0, 3.94 ,20,14,4,16,53,0,4,1,0,130,14, 3.3 , 14.9 , 4.5 , 1.1 , 1.13 , 1.75 , 0.10 , 3.94 , 3.11 ,3.04, 387 , 65 ,0.41776,-0.2
Ch Stratton,R,28,2,PIT,NL,Reliever,1,3,0,0,35,5,0,7,228,76.0, 5.57 ,93,47,13,33,69,1,2,0,0,344,50, 2.1 , 8.2 , 3.9 , 1.5 , 1.66 , 2.14 , 0.09 , 5.92 , 4.91 ,4.65, 30 , 21 ,0.430191,0.2
Li Hendriks,R,30,1,OAK,AL,Reliever,4,4,0,0,75,2,25,41,255,85.0, 1.80 ,61,17,5,21,124,5,7,2,0,332,18, 5.9 , 13.1 , 2.2 , 0.5 , 0.96 , 0.84 , 0.04 , 1.91 , 1.86 ,1.74, 420 , 634 ,2.15,3.9
Fe Abad,L,33,1,SFN,NL,Reliever,0,2,0,0,21,0,0,1,39,13.0, 4.15 ,9,6,2,3,9,0,1,0,0,49,6, 3.0 , 6.2 , 2.1 , 1.4 , 0.92 , 1.77 , 0.07 , 4.15 , 4.51 ,4.56, 15 , 10 ,0.197846,-0.1
Jo Gant,R,26,1,STL,NL,Reliever,11,1,0,0,64,0,3,13,199,66.3, 3.66 ,51,27,4,34,60,1,1,0,0,269,29, 1.8 , 8.1 , 4.6 , 0.5 , 1.28 , 1.12 , 0.03 , 3.93 , 3.71 ,3.73, 50 , 41 ,0.5713,0.9
Tr Wingenter,R,25,1,SDN,NL,Reliever,1,3,0,0,51,1,1,8,153,51.0, 5.65 ,34,32,5,28,72,0,4,5,0,218,32, 2.6 , 12.7 , 4.9 , 0.9 , 1.22 , 1.53 , 0.07 , 5.65 , 3.59 ,3.54, 226 , 44 ,0.500332,0.7
An Swarzak,R,33,2,ATL,NL,Reliever,3,4,0,0,59,0,4,8,160,53.3, 4.56 ,52,27,12,27,52,3,2,0,0,234,30, 1.9 , 8.8 , 4.6 , 2.0 , 1.48 , 2.76 , 0.13 , 5.06 , 5.69 ,5.28, 22 , 11 ,2.875,-0.7
Da Hudson,R,32,2,WAS,NL,Reliever,9,3,0,0,69,1,8,25,219,73.0, 2.47 ,56,20,8,27,71,2,2,4,0,304,25, 2.6 , 8.8 , 3.3 , 1.0 , 1.14 , 1.47 , 0.06 , 3.08 , 3.95 ,3.81, 75 , 40 ,0.491965,0.6
Ch Martin,R,33,2,ATL,NL,Reliever,1,3,0,0,58,0,4,20,167,55.7, 3.40 ,52,21,9,5,65,0,0,0,0,216,23, 13.0 , 10.5 , 0.8 , 1.5 , 1.02 , 1.71 , 0.10 , 3.72 , 3.24 ,3.09, 204 , 73 ,0.585,1.1
Em Clase,R,20,1,TEX,AL,Reliever,2,3,0,0,21,1,1,7,70,23.3, 2.31 ,20,6,2,6,21,0,1,1,0,94,8, 3.5 , 8.1 , 2.3 , 0.8 , 1.11 , 1.11 , 0.04 , 3.09 , 3.41 ,3.4, 83 , 39 ,0.176056,0.4
